studentID,score_exam1,score_exam2,num_total_activities,num_exams,num_activity1,num_activity2,num_activity3,num_activity4
875,148,154,63,2,3,7,6,8
876,162,162,3,1,2,0,0,0
877,153,153,10,2,6,2,0,0
878,155,155,2,1,0,1,0,0
879,153,160,144,17,99,9,4,3
880,151,151,27,2,6,8,6,5
881,122,131,368,87,156,7,4,107
882,150,150,270,1,193,9,4,4
883,151,163,37,6,1,7,6,9
884,144,158,72,12,39,7,5,3
885,152,153,119,3,71,1,3,8
886,136,136,8,1,3,2,2,0
887,145,145,36,2,12,9,6,3
888,137,137,62,1,58,3,0,0
889,150,151,25,2,11,2,2,0
890,140,148,39,12,20,0,0,0
891,155,155,11,1,1,5,1,1
892,148,148,21,1,18,1,1,0
893,150,156,43,2,34,2,1,4
894,151,151,4,1,1,2,0,0
895,151,157,49,3,26,7,6,7
896,146,146,7,1,6,0,0,0
897,142,142,41,1,12,8,5,5
898,151,151,15,2,3,5,4,1
899,144,144,281,1,199,4,5,68
900,140,150,7,2,4,1,0,0
901,142,153,43,2,16,4,5,16
902,145,156,35,3,12,1,3,0
903,147,159,83,3,44,7,3,22
904,148,151,45,5,31,4,4,1
905,140,140,6,1,0,3,2,0
906,145,145,6,1,0,4,1,0
907,151,159,7,2,0,3,2,0
908,152,164,96,8,31,9,6,40
909,142,152,21,4,4,5,3,4
910,148,148,52,1,31,6,4,7
911,145,154,49,7,25,3,1,0
912,150,150,54,4,15,0,1,27
913,135,135,44,1,26,2,1,6
914,143,143,9,1,0,1,0,0
915,136,136,3,1,0,1,0,0
916,139,154,161,3,118,0,1,37
917,125,125,5,1,0,2,2,0
918,145,145,53,1,51,0,0,0
919,142,147,80,6,48,2,1,23
920,139,154,54,9,41,0,0,0
921,131,139,93,3,55,0,2,13
922,155,155,64,5,16,8,6,28
923,143,143,2,1,0,1,0,0
924,156,156,28,2,10,6,5,5
925,149,149,66,1,58,3,3,1
926,149,156,48,3,27,5,2,6
927,144,162,124,22,28,1,2,71
928,147,147,9,1,0,3,5,0
929,154,156,4,4,0,0,0,0
930,146,153,35,3,7,5,4,2
931,149,149,44,4,21,6,4,8
932,143,143,7,1,0,4,2,0
933,151,151,6,1,0,1,4,0
934,156,158,81,2,31,7,5,36
935,131,139,15,2,2,5,4,2
936,157,157,8,1,4,2,1,0
937,153,153,41,1,28,3,1,0
938,159,159,128,4,69,8,5,36
939,145,156,11,6,1,0,1,3
940,159,173,70,11,40,6,5,6
941,148,156,42,7,17,7,5,6
942,152,152,32,1,17,5,4,0
943,143,151,5,2,0,2,1,0
944,159,162,15,3,3,1,1,3
945,151,151,44,2,16,1,2,22
946,150,150,90,1,42,7,6,10
947,152,161,31,3,5,4,6,4
948,153,159,41,2,28,1,0,10
949,141,141,6,1,1,3,0,1
950,139,144,41,4,22,3,3,2
951,141,141,1,1,0,0,0,0
952,145,145,28,1,14,1,1,8
953,152,164,59,2,23,8,3,12
954,152,161,66,4,45,2,1,10
955,141,147,23,2,10,7,4,0
956,146,146,16,1,3,2,1,0
957,142,161,139,5,78,4,4,4
958,139,158,13,2,0,1,1,0
959,155,158,36,4,16,7,5,4
960,126,126,20,1,16,0,2,0
961,145,145,29,3,4,3,2,0
962,135,135,9,1,0,2,2,0
963,139,145,58,2,34,1,4,16
964,141,144,31,2,13,1,1,6
965,142,143,56,2,34,7,4,5
966,140,144,8,2,5,1,0,0
967,149,149,13,1,2,3,3,4
968,136,136,4,1,1,2,0,0
969,135,142,17,4,4,3,4,0
970,142,144,55,3,20,6,4,13
971,140,140,10,1,4,2,3,0
972,125,133,18,3,10,2,1,1
973,169,176,59,3,31,9,6,9
974,145,151,28,3,3,9,5,8
975,156,156,99,1,88,5,3,2
976,142,142,5,1,0,1,0,0
977,149,149,105,1,62,7,4,31
978,133,133,3,1,0,2,0,0
979,153,153,6,1,3,1,0,1
980,153,153,30,1,22,0,1,6
981,159,159,124,3,73,6,2,9
982,143,150,21,3,13,0,2,1
983,142,157,42,2,22,1,1,6
984,157,169,156,3,62,7,4,61
985,160,160,30,2,12,8,4,3
986,138,150,189,8,136,1,1,21
987,166,166,15,1,0,7,3,4
988,152,152,38,1,4,3,1,29
989,139,146,8,3,4,1,0,0
990,148,149,35,2,30,1,0,1
991,152,152,23,1,9,7,5,1
992,151,151,2,1,0,1,0,0
993,151,156,53,3,2,7,5,6
994,165,165,17,1,1,2,2,4
995,139,139,53,1,18,5,3,10
996,145,145,63,1,40,8,6,3
997,156,156,3,1,0,0,0,2
998,156,158,48,4,33,6,2,0
999,144,144,14,1,10,2,1,0
1000,148,152,7,2,0,2,2,0
